iter	RMSE
0	9.096941387
1	8.77379087
2	8.463465094
3	8.177116221
4	7.901912432
5	7.652172606
6	7.407745161
7	7.184640842
8	6.942954323
9	6.722722798
10	6.505716315
11	6.301081562
12	6.095115142
13	5.90780471
14	5.723260836
15	5.553663164
16	5.401974269
17	5.253757773
18	5.118252826
19	4.979843565
20	4.846157732
21	4.722707492
22	4.625935451
23	4.512290492
24	4.40348681
25	4.308532626
26	4.208415078
27	4.115809122
28	4.032641541
29	3.958349836
30	3.879169471
31	3.794026559
32	3.718388522
33	3.641105191
34	3.55857666
35	3.495236206
36	3.427660656
37	3.369303971
38	3.316116817
39	3.252197268
40	3.208307366
41	3.158571141
42	3.116282785
43	3.067336447
44	3.033364166
45	2.989133294
46	2.952407201
47	2.918963405
48	2.899407501
49	2.869619016
50	2.841144584
51	2.813545583
52	2.781286119
53	2.756178656
54	2.724621243
55	2.694988768
56	2.669306054
57	2.646041087
58	2.629851179
59	2.617059944
60	2.594612032
61	2.571655447
62	2.553476641
63	2.538179007
64	2.519486696
65	2.50575645
66	2.490344078
67	2.480121964
68	2.468288843
69	2.455008788
70	2.442421574
71	2.428916334
72	2.417867933
73	2.407072451
74	2.395774546
75	2.383710914
76	2.3738217
77	2.364628969
78	2.355042259
79	2.346359114
80	2.339635294
81	2.328827726
82	2.316353964
83	2.306870591
84	2.300201923
85	2.29404799
86	2.28866105
87	2.280825784
88	2.274837731
89	2.267581605
90	2.262201146
91	2.256638872
92	2.251680142
93	2.24666993
94	2.241505902
95	2.234508477
96	2.226946443
97	2.221850248
98	2.21322264
99	2.204961905
100	2.198046812
101	2.191413058
102	2.185949873
103	2.182443045
104	2.178341563
105	2.175112228
106	2.17164134
107	2.164451641
108	2.159159213
109	2.152951159
110	2.146097708
111	2.141018683
112	2.136934723
113	2.130502139
114	2.127758345
115	2.119262379
116	2.114601264
117	2.111112688
118	2.105131345
119	2.100356666
120	2.094003002
121	2.088856525
122	2.086022358
123	2.080641133
124	2.075529169
125	2.073078682
126	2.069568283
127	2.06679597
128	2.062946005
129	2.060187079
130	2.0550225
131	2.053804175
132	2.049377336
133	2.045775509
134	2.042855306
135	2.040263242
136	2.033295194
137	2.030006626
138	2.023623022
139	2.019591958
140	2.014687168
141	2.009657513
142	2.006306174
143	2.0020998
144	1.999360524
145	1.995127539
146	1.98882869
147	1.985470395
148	1.982067313
149	1.977232436
150	1.973576726
151	1.968306161
152	1.9640658
153	1.961459155
154	1.957176174
155	1.954423323
156	1.950438664
157	1.947377892
158	1.942333537
159	1.938384969
160	1.93379954
161	1.928023136
162	1.922902521
163	1.921089352
164	1.917460798
165	1.915123091
166	1.913415204
167	1.909641429
168	1.904756104
169	1.901567569
170	1.896582092
171	1.894888738
172	1.893418784
173	1.890300117
174	1.888613758
175	1.885341163
176	1.88377928
177	1.880909962
178	1.877425963
179	1.874074535
180	1.870489862
181	1.868781367
182	1.864220334
183	1.861014567
184	1.860331531
185	1.857571122
186	1.854585215
187	1.852173729
188	1.848939668
189	1.84600868
190	1.8432305
191	1.840585454
192	1.838103935
193	1.834296128
194	1.831750236
195	1.827429213
196	1.825939274
197	1.822643107
198	1.820180181
199	1.818330954
200	1.814350471
201	1.811501809
202	1.805984103
203	1.803529316
204	1.801491933
205	1.798386355
206	1.795484993
207	1.792877523
208	1.790287251
209	1.788140017
210	1.785382961
211	1.780926261
212	1.77684578
213	1.773009039
214	1.769986783
215	1.766537923
216	1.764938218
217	1.761981993
218	1.759501898
219	1.755610082
220	1.753174365
221	1.749642665
222	1.746681429
223	1.744562202
224	1.741360803
225	1.738805802
226	1.734848207
227	1.732989346
228	1.730959429
229	1.728386021
230	1.726918816
231	1.724695719
232	1.721662111
233	1.718322384
234	1.715067864
235	1.713709653
236	1.711723686
237	1.708993172
238	1.705860192
239	1.70307862
240	1.701549517
241	1.698862941
242	1.697000941
243	1.695253334
244	1.691218019
245	1.688763762
246	1.686278239
247	1.684696739
248	1.681607874
249	1.679139304
250	1.67652732
251	1.675530941
252	1.67224401
253	1.670532215
254	1.668254168
255	1.665740311
256	1.664882627
257	1.663054374
258	1.662096877
259	1.659403927
260	1.656894641
261	1.654462745
262	1.65274904
263	1.650747124
264	1.648689161
265	1.646833037
266	1.646651742
267	1.643964131
268	1.639883064
269	1.638198296
270	1.635853407
271	1.635109449
272	1.634829449
273	1.633437956
274	1.631766808
275	1.628788731
276	1.62662115
277	1.625713004
278	1.624741415
279	1.622432317
280	1.619623001
281	1.618107151
282	1.615565303
283	1.615300346
284	1.615043788
285	1.61386784
286	1.611604248
287	1.61047576
288	1.609722689
289	1.608137056
290	1.605154636
291	1.604435424
292	1.604048997
293	1.603837295
294	1.602914429
295	1.601873623
296	1.600044302
297	1.59991516
298	1.598477797
299	1.597143924
300	1.595572804
301	1.594040331
302	1.593824108
303	1.593138596
304	1.591085599
305	1.588260474
306	1.588138331
307	1.584824573
308	1.583203329
309	1.581555777
310	1.578999517
311	1.577234504
312	1.576576529
313	1.574256875
314	1.573845472
315	1.573274148
316	1.571480216
317	1.56979977
318	1.569117091
319	1.568831887
320	1.566753354
321	1.565759813
322	1.564158355
323	1.562472169
324	1.559740071
325	1.55742468
326	1.554784719
327	1.554086775
328	1.551178182
329	1.549023195
330	1.545935449
331	1.545248116
332	1.543467667
333	1.541901437
334	1.539863682
335	1.539749198
336	1.538072327
337	1.535489987
338	1.533904402
339	1.53218973
340	1.530396873
341	1.529997683
342	1.527263158
343	1.525927228
344	1.524538841
345	1.522536237
346	1.520666607
347	1.518641417
348	1.516333232
349	1.515229347
350	1.514030875
351	1.512814514
352	1.51113601
353	1.509484013
354	1.508128993
355	1.507534951
356	1.506225205
357	1.503752066
358	1.50230584
359	1.499482689
360	1.497161859
361	1.495286376
362	1.494099996
363	1.492701152
364	1.489738485
365	1.487891243
366	1.485144933
367	1.483825497
368	1.483348213
369	1.483241567
370	1.481467898
371	1.47840726
372	1.477548248
373	1.477377899
374	1.476442156
375	1.474399488
376	1.473981683
377	1.473103305
378	1.471228108
379	1.470441304
380	1.469066213
381	1.466317697
382	1.464917146
383	1.463574742
384	1.4615534
385	1.459367257
386	1.458026144
387	1.455477914
388	1.454215945
389	1.452975098
390	1.451001992
391	1.449799601
392	1.448129263
393	1.447086021
394	1.446572879
395	1.44631994
396	1.444152107
397	1.441993665
398	1.439379857
399	1.438336709
400	1.437097972
401	1.434743293
402	1.434186433
403	1.432730062
404	1.431101656
405	1.429960204
406	1.428381371
407	1.427339999
408	1.426230432
409	1.42584802
410	1.424599692
411	1.422707473
412	1.421939839
413	1.421323869
414	1.420647444
415	1.417897484
416	1.415955817
417	1.414136175
418	1.411464609
419	1.409927256
420	1.408545348
421	1.406697163
422	1.40511061
423	1.404359774
424	1.403213464
425	1.402254365
426	1.400046173
427	1.398727321
428	1.398068361
429	1.395730588
430	1.395133478
431	1.394827632
432	1.393565049
433	1.392424386
434	1.392275381
435	1.390592913
436	1.388793237
437	1.387848414
438	1.386095597
439	1.383876238
440	1.383259738
441	1.380345884
442	1.379772327
443	1.378502271
444	1.376968479
445	1.375796998
446	1.374714949
447	1.373847076
448	1.372490484
449	1.370450932
450	1.368956523
451	1.366514919
452	1.365751432
453	1.365077473
454	1.363341126
455	1.362807842
456	1.362036101
457	1.360530418
458	1.360100414
459	1.359119717
460	1.357066396
461	1.355365117
462	1.354461002
463	1.354366842
464	1.353363673
465	1.352480007
466	1.350967768
467	1.349779333
468	1.348436821
469	1.347776369
470	1.34688581
471	1.345697895
472	1.345006959
473	1.344369314
474	1.342563044
475	1.340527697
476	1.338701649
477	1.337522581
478	1.336572205
479	1.334867029
480	1.334098598
481	1.332424688
482	1.330975904
483	1.329124594
484	1.328619871
485	1.32778922
486	1.327282576
487	1.326130061
488	1.324850549
489	1.323650236
490	1.323342537
491	1.322389375
492	1.321605314
493	1.319819747
494	1.318908826
495	1.317484747
496	1.317277606
497	1.315215639
498	1.314049139
499	1.312754539
500	1.31226309
501	1.311168496
502	1.310213155
503	1.309657986
504	1.308417118
505	1.307161956
506	1.306901212
507	1.305736384
508	1.304816272
509	1.302997982
510	1.301626264
511	1.300238558
512	1.300206858
513	1.298662119
514	1.297434332
515	1.296938351
516	1.295999432
517	1.295682478
518	1.294643583
519	1.29421044
520	1.292863605
521	1.29215229
522	1.2916365
523	1.290394026
524	1.289643745
525	1.288433939
526	1.286922872
527	1.285921064
528	1.28466307
529	1.282651173
530	1.28192233
531	1.280393514
532	1.279303115
533	1.277762191
534	1.27707593
535	1.274955909
536	1.273419222
537	1.273047379
538	1.271634521
539	1.270635528
540	1.27021466
541	1.268947178
542	1.268340231
543	1.267682276
544	1.266540682
545	1.265479205
546	1.26436976
547	1.262941097
548	1.262870909
549	1.261861322
550	1.261375032
551	1.261136155
552	1.259864859
553	1.258872207
554	1.257700774
555	1.257508956
556	1.255992694
557	1.255027605
558	1.253483562
559	1.252473713
560	1.25089561
561	1.249797653
562	1.248467987
563	1.247720176
564	1.247189446
565	1.246332215
566	1.245179546
567	1.244626301
568	1.243200404
569	1.242758726
570	1.241739033
571	1.241096071
572	1.238777217
573	1.238110584
574	1.237420355
575	1.235543511
576	1.233736182
577	1.232678613
578	1.230909356
579	1.228585886
580	1.22603325
581	1.225851906
582	1.224380226
583	1.223745915
584	1.222872834
585	1.221511997
586	1.220321915
587	1.219570531
588	1.21811743
589	1.216734658
590	1.215387332
591	1.214607345
592	1.214177859
593	1.213356836
594	1.212983553
595	1.21240728
596	1.211840256
597	1.211339865
598	1.210112186
599	1.209432675
600	1.207522086
601	1.207191496
602	1.205818327
603	1.204585756
604	1.203865334
605	1.203190833
606	1.200996449
607	1.200954148
608	1.199970863
609	1.198605806
610	1.19817571
611	1.196845307
612	1.196490463
613	1.196120032
614	1.195685999
615	1.194559268
616	1.193957349
617	1.192675941
618	1.191567342
619	1.190786967
620	1.189861643
621	1.189484192
622	1.188521423
623	1.187695877
624	1.186589771
625	1.185504667
626	1.184786143
627	1.184493373
628	1.183712819
629	1.182179457
630	1.180453891
631	1.18036657
632	1.179500378
633	1.178794797
634	1.178581645
635	1.178415249
636	1.17762193
637	1.176988132
638	1.1755322
639	1.174762067
640	1.173497387
641	1.172769833
642	1.172229764
643	1.170925048
644	1.170730854
645	1.169195083
646	1.168294696
647	1.166426438
648	1.164845234
649	1.1643348
650	1.162807852
651	1.161929375
652	1.160963884
653	1.159451772
654	1.158850365
655	1.157751778
656	1.156730864
657	1.15599896
658	1.155274379
659	1.154912234
660	1.153636242
661	1.152721476
662	1.152317416
663	1.150454444
664	1.149630972
665	1.148098789
666	1.146609259
667	1.145223793
668	1.14335792
669	1.143343683
670	1.142861307
671	1.141984775
672	1.139854556
673	1.138193553
674	1.137414944
675	1.136016852
676	1.1355378
677	1.135306469
678	1.134339789
679	1.133623058
680	1.132851464
681	1.131359783
682	1.130064535
683	1.129543168
684	1.127959841
685	1.127027972
686	1.126613192
687	1.125507307
688	1.124657795
689	1.124416218
690	1.123081957
691	1.12244391
692	1.121766097
693	1.121121883
694	1.12022689
695	1.119121944
696	1.118735166
697	1.116645842
698	1.115529238
699	1.115324448
700	1.113605609
701	1.112487305
702	1.112038329
703	1.11032578
704	1.10959959
705	1.108398666
706	1.107253169
707	1.105855322
708	1.105155729
709	1.104577354
710	1.102291161
711	1.101825996
712	1.1010987
713	1.100383692
714	1.099184142
715	1.097642506
716	1.096802337
717	1.096731479
718	1.096211331
719	1.095140398
720	1.094594346
721	1.093263134
722	1.093082428
723	1.09236015
724	1.092204435
725	1.090712479
726	1.089706119
727	1.089113292
728	1.088107288
729	1.087787937
730	1.086721148
731	1.086268939
732	1.085225354
733	1.085162239
734	1.084785713
735	1.084171073
736	1.083148203
737	1.082102031
738	1.081395731
739	1.080317403
740	1.079979605
741	1.079094567
742	1.078382835
743	1.077575842
744	1.077060698
745	1.076438345
746	1.074659033
747	1.074491816
748	1.073831746
749	1.072752467
750	1.072459259
751	1.072089043
752	1.071684275
753	1.071409443
754	1.070823449
755	1.06991502
756	1.068856754
757	1.067670648
758	1.065748049
759	1.065723039
760	1.064566311
761	1.063477436
762	1.06245168
763	1.060483272
764	1.059336153
765	1.058683314
766	1.058057893
767	1.057798667
768	1.057247056
769	1.05709558
770	1.0565657
771	1.056269904
772	1.055717528
773	1.055381149
774	1.054114561
775	1.053640007
776	1.052381818
777	1.051881254
778	1.050609357
779	1.0498378
780	1.049555442
781	1.049002694
782	1.048069103
783	1.047222755
784	1.046670796
785	1.045280639
786	1.044636541
787	1.043649251
788	1.043165653
789	1.042187545
790	1.04129161
791	1.040149811
792	1.039338676
793	1.038475676
794	1.037197888
795	1.03651196
796	1.036255338
797	1.035544535
798	1.034473834
799	1.033374331
800	1.032287849
801	1.031428282
802	1.03051414
803	1.029427862
804	1.028878962
805	1.027754085
806	1.026894263
807	1.026639554
808	1.025728006
809	1.025002293
810	1.023615137
811	1.022618519
812	1.022072804
813	1.020892526
814	1.020367568
815	1.019539126
816	1.019110947
817	1.017955197
818	1.016883058
819	1.015905194
820	1.015208388
821	1.015056312
822	1.014400854
823	1.013976442
824	1.01359831
825	1.013025249
826	1.012637737
827	1.011647292
828	1.011252017
829	1.010884274
830	1.009971933
831	1.009019009
832	1.00850004
833	1.007119352
834	1.006518224
835	1.005801603
836	1.005094309
837	1.004608094
838	1.003381145
839	1.003132093
840	1.002524205
841	1.001324853
842	0.9999648013
843	0.9983051788
844	0.9975622286
845	0.9972344314
846	0.9959392913
847	0.9945327643
848	0.9939074337
849	0.9933883846
850	0.9930048596
851	0.9926004281
852	0.9918506548
853	0.9914303569
854	0.9910584728
855	0.9908938082
856	0.9905311713
857	0.989969053
858	0.9895209779
859	0.9883008355
860	0.9875706914
861	0.987155605
862	0.9854397818
863	0.9850702749
864	0.9843441257
865	0.9836072702
866	0.9826153685
867	0.9812751461
868	0.9805544237
869	0.9800495647
870	0.9800366131
871	0.9796116449
872	0.9786783783
873	0.978143531
874	0.9772551541
875	0.9766129886
876	0.9758947517
877	0.9752710597
878	0.9752139667
879	0.9741534264
880	0.9737761851
881	0.972758746
882	0.9720203714
883	0.9714977069
884	0.9713378301
885	0.9709859892
886	0.9700433329
887	0.9693493077
888	0.9688539746
889	0.9682003391
890	0.9676434795
891	0.9661750274
892	0.9657767931
893	0.9648539031
894	0.9631430119
895	0.9618897012
896	0.9611769318
897	0.9596867254
898	0.9592890148
899	0.9576867168
900	0.9570629308
901	0.9566612426
902	0.9557941376
903	0.9545494
904	0.95452713
905	0.9540477133
906	0.953378066
907	0.9530679054
908	0.9524614233
909	0.9519691644
910	0.9515506748
911	0.9511831468
912	0.9508213433
913	0.9499714764
914	0.9492222752
915	0.9484026097
916	0.947847683
917	0.9476072358
918	0.9473189117
919	0.9471633416
920	0.9465751098
921	0.9461081829
922	0.9452581203
923	0.9445074968
924	0.9442686301
925	0.9440167757
926	0.9434691588
927	0.9423905227
928	0.9416806921
929	0.9411248372
930	0.9403845369
931	0.9402668725
932	0.9397317725
933	0.9390561078
934	0.9380848542
935	0.9375724887
936	0.9366965616
937	0.936146934
938	0.9356795717
939	0.9353535805
940	0.9344420438
941	0.9338365822
942	0.9333953959
943	0.932686775
944	0.9319518121
945	0.9310384772
946	0.930771238
947	0.9301110199
948	0.9298111971
949	0.9294611503
950	0.9286936832
951	0.9285410056
952	0.9278030134
953	0.9272669394
954	0.9266801213
955	0.925779571
956	0.9251285389
957	0.9246633537
958	0.9243171927
959	0.9237192828
960	0.9227585235
961	0.9226120759
962	0.9217166325
963	0.9209472704
964	0.9198529008
965	0.9188819932
966	0.9177967468
967	0.917508533
968	0.9174796647
969	0.9168388221
970	0.9158779687
971	0.9152706152
972	0.9148066874
973	0.9141854581
974	0.9139161525
975	0.9135544632
976	0.9135054798
977	0.9132506925
978	0.9128110355
979	0.9124976656
980	0.9117218689
981	0.9112294214
982	0.9107129653
983	0.909609351
984	0.9090131228
985	0.9089603815
986	0.9074842746
987	0.907094075
988	0.9060405006
989	0.9056201991
990	0.9041164169
991	0.9034494671
992	0.902588134
993	0.9022758356
994	0.9016657156
995	0.9010914511
996	0.8998792511
997	0.8997482049
998	0.8995863773
999	0.8988762416
