iter	Passed	Remaining
0	56	56866
1	99	49708
2	134	44801
3	172	43002
4	218	43441
5	263	43585
6	310	44037
7	355	44129
8	394	43475
9	437	43295
10	477	42932
11	515	42474
12	556	42216
13	598	42158
14	639	41995
15	681	41882
16	721	41732
17	762	41600
18	803	41466
19	846	41497
20	887	41365
21	931	41408
22	980	41632
23	1019	41469
24	1058	41266
25	1097	41127
26	1137	40978
27	1178	40926
28	1216	40744
29	1254	40561
30	1292	40412
31	1331	40283
32	1370	40166
33	1408	40011
34	1445	39866
35	1483	39713
36	1519	39550
37	1557	39424
38	1594	39302
39	1631	39163
40	1669	39040
41	1706	38923
42	1743	38806
43	1779	38668
44	1819	38622
45	1858	38553
46	1889	38319
47	1925	38182
48	1938	37615
49	1974	37520
50	2014	37476
51	2037	37153
52	2079	37148
53	2117	37102
54	2155	37028
55	2193	36970
56	2228	36875
57	2266	36818
58	2303	36739
59	2334	36575
60	2373	36529
61	2411	36481
62	2447	36398
63	2484	36338
64	2522	36290
65	2561	36255
66	2600	36219
67	2639	36172
68	2677	36121
69	2714	36058
70	2753	36026
71	2791	35983
72	2829	35929
73	2868	35901
74	2909	35884
75	2947	35840
76	2986	35799
77	3025	35764
78	3062	35705
79	3101	35670
80	3138	35606
81	3178	35578
82	3219	35568
83	3255	35505
84	3293	35452
85	3330	35397
86	3367	35342
87	3403	35273
88	3441	35228
89	3479	35182
90	3525	35212
91	3566	35195
92	3604	35149
93	3643	35118
94	3684	35099
95	3724	35072
96	3765	35051
97	3804	35016
98	3841	34958
99	3880	34920
100	3917	34871
101	3957	34837
102	3994	34784
103	4030	34724
104	4066	34659
105	4084	34450
106	4122	34403
107	4160	34365
108	4196	34306
109	4233	34251
110	4269	34198
111	4307	34149
112	4343	34094
113	4382	34057
114	4419	34010
115	4455	33950
116	4490	33893
117	4529	33855
118	4564	33791
119	4601	33741
120	4640	33707
121	4678	33666
122	4715	33623
123	4753	33581
124	4791	33541
125	4828	33494
126	4865	33442
127	4904	33409
128	4943	33376
129	4979	33323
130	5016	33274
131	5040	33145
132	5078	33104
133	5121	33098
134	5166	33106
135	5205	33070
136	5242	33022
137	5281	32991
138	5323	32977
139	5361	32935
140	5399	32893
141	5435	32845
142	5474	32806
143	5515	32784
144	5552	32742
145	5591	32707
146	5632	32681
147	5668	32632
148	5705	32584
149	5742	32540
150	5781	32507
151	5817	32455
152	5854	32412
153	5892	32369
154	5929	32326
155	5967	32286
156	6004	32240
157	6038	32182
158	6076	32140
159	6115	32108
160	6152	32060
161	6190	32024
162	6227	31978
163	6263	31927
164	6300	31886
165	6337	31839
166	6374	31798
167	6415	31771
168	6452	31725
169	6487	31673
170	6524	31630
171	6560	31580
172	6596	31533
173	6634	31496
174	6672	31457
175	6710	31416
176	6749	31382
177	6790	31356
178	6827	31315
179	6866	31279
180	6905	31246
181	6941	31199
182	6978	31155
183	7013	31105
184	7050	31058
185	7087	31018
186	7126	30983
187	7165	30947
188	7202	30905
189	7241	30871
190	7284	30852
191	7322	30816
192	7359	30772
193	7395	30726
194	7431	30679
195	7469	30640
196	7505	30591
197	7543	30553
198	7585	30531
199	7624	30497
200	7661	30453
201	7698	30414
202	7737	30378
203	7775	30339
204	7812	30295
205	7848	30250
206	7887	30215
207	7930	30198
208	7970	30165
209	8014	30150
210	8053	30115
211	8093	30081
212	8131	30043
213	8169	30005
214	8206	29964
215	8245	29927
216	8282	29887
217	8317	29837
218	8352	29786
219	8390	29746
220	8426	29702
221	8464	29662
222	8502	29623
223	8537	29577
224	8574	29533
225	8611	29490
226	8646	29445
227	8684	29406
228	8724	29374
229	8761	29332
230	8798	29288
231	8833	29242
232	8871	29202
233	8908	29161
234	8945	29118
235	8982	29079
236	9019	29038
237	9056	28996
238	9093	28954
239	9144	28957
240	9182	28920
241	9222	28886
242	9260	28847
243	9298	28809
244	9336	28771
245	9373	28729
246	9409	28685
247	9446	28644
248	9484	28605
249	9520	28562
250	9559	28526
251	9598	28489
